                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96259,                 1.9693,                 1.3236,                0.79573,                0.78956,                0.81716,                0.57149,                0.90254,                  1.517,                 1.2473,             0.00036952,             0.00036952,             0.00036952
                      2,                0.92355,                 1.1565,                 1.2872,                0.72844,                0.72171,                0.76233,                0.52037,                 1.0151,                 1.3981,                 1.3264,              0.0007252,              0.0007252,              0.0007252
                      3,                0.90381,                 1.0184,                  1.271,                0.81544,                0.82492,                0.85803,                0.60346,                0.86945,                0.92653,                 1.2065,              0.0010662,              0.0010662,              0.0010662
                      4,                0.88391,                0.88756,                 1.2523,                0.85495,                0.79222,                0.85052,                0.61239,                0.85884,                0.79841,                 1.2014,               0.001045,               0.001045,               0.001045
                      5,                0.85185,                0.82161,                 1.2339,                0.87498,                0.85021,                0.89862,                 0.6577,                0.79145,                0.70557,                 1.1365,               0.001023,               0.001023,               0.001023
                      6,                0.82983,                0.77051,                 1.2145,                0.89053,                0.91099,                0.93412,                0.70519,                0.73115,                0.60163,                 1.0696,               0.001001,               0.001001,               0.001001
                      7,                 0.7994,                0.72827,                 1.2015,                 0.9119,                0.87793,                0.91931,                0.69672,                0.82504,                0.61599,                 1.1329,             0.00097901,             0.00097901,             0.00097901
                      8,                0.78441,                0.67906,                 1.1848,                0.87936,                0.87489,                0.90138,                 0.7015,                 0.7285,                0.61175,                 1.0708,             0.00095702,             0.00095702,             0.00095702
                      9,                0.77484,                0.66281,                 1.1833,                0.93075,                0.89035,                0.94048,                0.71832,                0.73356,                0.54209,                 1.0617,             0.00093502,             0.00093502,             0.00093502
